,Track_ID,Track_Title,Track_Artist,Track_Popularity,Track_URL,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acoutsicness,Instrumentalness,Liveness,Valence,Tempo
1,07VOlyshShGMYBPgjTIZoz,"""BOP""",CJ,45,https://p.scdn.co/mp3-preview/dee37f9fb2ab8bb5e27dfe325dda46ef0192e8ae?cid=1346ad7fd5d14060af96cc4eaf61e382,0.885,0.741,10,-7.967,1,0.381,0.357,0.0,0.342,0.603,139.144
2,2KkglYERoV6dGi9ME4iYsw,"""Filthy""",Ayron Jones,51,https://p.scdn.co/mp3-preview/2b5b17302290a6c670515e493a1e842266b2be25?cid=1346ad7fd5d14060af96cc4eaf61e382,0.483,0.744,9,-5.935,1,0.0598,1.85e-05,0.000482,0.279,0.328,122.061
3,2gC7erdFPRnp9ZQ3AXgfCv,#BEENBALLIN,Sheck Wes,43,https://p.scdn.co/mp3-preview/59813b0ee30d2eba9800007f6eccb16bbee49dcb?cid=1346ad7fd5d14060af96cc4eaf61e382,0.82,0.721,1,-5.868,1,0.0649,0.00421,0.0,0.112,0.137,124.083
4,0VtyqKSFeXrIVSbpxARxt4,'96 Bulls,Kota the Friend,52,https://p.scdn.co/mp3-preview/84e002ba6a24e22702f809c870dcf481d1584a13?cid=1346ad7fd5d14060af96cc4eaf61e382,0.726,0.412,0,-12.337,0,0.386,0.499,0.0,0.167,0.528,75.444
6,6rlqNxNTuK3elWsYjc4psh,'Round Midnight,Adam Blackstone,44,https://p.scdn.co/mp3-preview/59ae4140e700d4cf50686bf5aeba628a9c92e440?cid=1346ad7fd5d14060af96cc4eaf61e382,0.262,0.366,10,-10.254,0,0.0367,0.853,0.000657,0.175,0.181,78.949
7,55meeb1WffJW16DfMnWVi0,()vȯ)) ̷̨ʅ(۝ʅ(Ɵʅ():::()̵̳̗̊(Ɵʅ()vȯ)) ̷̨ʅ,⣎⡇ꉺლ༽இ•̛)ྀ◞ ༎ຶ ༽ৣৢ؞ৢ؞ؖ ꉺლ,50,https://p.scdn.co/mp3-preview/86ad7a2fe93effbe02379e9da26e3465d9ceed69?cid=1346ad7fd5d14060af96cc4eaf61e382,0.852,0.93,1,-7.02,1,0.209,0.0127,0.494,0.0573,0.236,129.028
9,22lJaG2yxlSjIwdUIddcFk,(L)only Child,salem ilese,44,https://p.scdn.co/mp3-preview/f23076742af15f97021765ca553092f011064445?cid=1346ad7fd5d14060af96cc4eaf61e382,0.645,0.611,8,-5.925,0,0.137,0.29,2.05e-05,0.237,0.645,157.475
10,7lC2H90qclM4JgyQz6H1ys,(N) INE,SSGKobe,40,https://p.scdn.co/mp3-preview/f1e27cb1a90d9fe894e20503054732cf1ada7f62?cid=1346ad7fd5d14060af96cc4eaf61e382,0.727,0.548,4,-9.619,0,0.37,0.0989,0.0,0.328,0.221,139.986
11,6QFCgioM2ZDxCEadWUes2b,"(Pick Me Up) Euphoria - From ""Euphoria"" An HBO Original Series",James Blake,50,https://p.scdn.co/mp3-preview/cc6d07e7f44ddbeecd1ef8580c39d0d7a3fa337c?cid=1346ad7fd5d14060af96cc4eaf61e382,0.41,0.249,7,-12.957,1,0.0649,0.783,0.0343,0.145,0.119,78.238
12,4DSG3Jl9MHt7EQRR9louzF,(Remember Me) I'm the One Who Loves You,Watkins Family Hour,27,https://p.scdn.co/mp3-preview/ed192d8075a54a0e439e8b0d6f741bebc3351b21?cid=1346ad7fd5d14060af96cc4eaf61e382,0.581,0.439,0,-8.645,1,0.0313,0.695,7.83e-05,0.262,0.721,122.752
